,0,1,2,3,4,5,6,7,8,9,10,11,12
0,9.999999987000003e-11,0.9756097549292685,0.024390243970731716,9.999999987000003e-11,9.999999987000003e-11,9.999999987000003e-11,9.999999987000003e-11,9.999999987000003e-11,9.999999987000003e-11,9.999999987000003e-11,9.999999987000003e-11,9.999999987000003e-11,9.999999987000003e-11
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999982,0.9500000000000002
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999999999992,0.13999999999999985,0.8550000000000002
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006499999999999989,0.16700000000000007,0.8264999999999999
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009999999999999985,0.026999999999999944,0.193,0.7790000000000001
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001999999999999997,0.04699999999999992,0.21,0.741
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999999999974,0.061999999999999916,0.3085,0.6270000000000001
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004499999999999997,0.10199999999999994,0.34249999999999997,0.5510000000000002
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003999999999999995,0.0874999999999999,0.25299999999999995,0.6555000000000001
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007999999999999995,0.16199999999999987,0.22199999999999998,0.6080000000000002
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009999999999999992,0.02699999999999997,0.16249999999999992,0.22999999999999995,0.5795000000000001
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019999999999999987,0.047499999999999945,0.19049999999999986,0.21850000000000006,0.5415000000000002
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009999999999999996,0.02599999999999997,0.1495,0.3389999999999999,0.4845000000000001
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019999999999999987,0.044499999999999956,0.139,0.32049999999999995,0.49400000000000005
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002499999999999999,0.056999999999999974,0.19649999999999998,0.32599999999999996,0.41800000000000004
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034999999999999996,0.0725,0.13149999999999998,0.3554999999999998,0.43700000000000017
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005999999999999998,0.11699999999999997,0.07549999999999994,0.374,0.42750000000000005
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.016000000000000004,0.12599999999999997,0.06549999999999993,0.3645,0.4275000000000001
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.13449999999999995,0.04649999999999995,0.3655,0.4465000000000001
