,p_state,p_state_discrete,d_state,d_state_nn,current_action
0,0.00042737028560979487,11,1,1,perfect_repair
1,0.0004353377131266821,11,12,2,do_nothing
2,0.0015622312038599039,11,12,2,do_nothing
3,0.0033156542079693665,11,12,1,do_nothing
4,0.005660538827970468,11,12,2,do_nothing
5,0.008573405923220893,11,12,1,do_nothing
6,0.01203824946526382,11,12,2,do_nothing
7,0.016043908561277544,11,12,2,do_nothing
8,0.020577199078502695,11,12,2,do_nothing
9,0.02562990461317728,11,12,0,do_nothing
10,0.031189348742047977,11,12,1,do_nothing
11,0.0372558546783783,11,12,2,do_nothing
12,0.04382026335817557,11,12,1,do_nothing
13,0.05087192893005656,11,12,2,do_nothing
14,0.0584151615111763,11,12,2,do_nothing
15,0.06642978761828709,11,12,1,do_nothing
16,0.07492471499008625,11,12,0,do_nothing
17,0.0838923217184338,11,12,2,do_nothing
18,0.09333407453233711,11,12,0,do_nothing
19,0.10323525378419264,11,12,1,do_nothing
20,0.11359962837862976,11,12,0,do_nothing
21,0.12442164487558285,11,12,3,do_nothing
22,0.1357014148512785,11,12,1,do_nothing
23,0.14742545388253037,11,12,1,do_nothing
24,0.15959502072355752,11,11,0,do_nothing
25,0.17221517968269726,11,11,0,do_nothing
26,0.1852812703076426,11,11,1,do_nothing
27,0.19879217384078537,11,11,1,do_nothing
28,0.21274374053692127,11,11,2,do_nothing
29,0.2271288807063523,11,11,1,do_nothing
30,0.24195986173620504,11,11,2,do_nothing
31,0.25722372295708457,11,11,2,do_nothing
32,0.2729230397405606,11,12,0,do_nothing
33,0.28904618828429346,11,10,2,do_nothing
34,0.3055845413718517,11,10,0,do_nothing
35,0.32257206140990546,11,10,1,do_nothing
36,0.33998828895906086,11,10,2,do_nothing
37,0.3578068293721612,11,12,0,do_nothing
38,0.3760519496284489,11,12,0,do_nothing
39,0.39471259453280616,11,12,0,do_nothing
40,0.41380517449178755,11,8,0,do_nothing
41,0.43330129035621495,11,8,0,do_nothing
42,0.45322595770118906,11,8,0,do_nothing
43,0.4735577553879319,11,8,0,do_nothing
44,0.494323610880938,11,8,2,do_nothing
45,0.5154878397055387,11,8,0,do_nothing
46,0.5370635658788617,11,8,1,do_nothing
47,0.5590304470015703,11,10,0,do_nothing
48,0.5814106524164951,11,10,0,do_nothing
49,0.6042234256661566,11,10,0,do_nothing
50,0.627427255107122,11,10,0,do_nothing
51,0.6510514544784088,11,12,0,do_nothing
52,0.6750672013673289,11,12,1,do_nothing
53,0.6994773274451724,11,12,0,do_nothing
54,0.7243147398097168,11,12,0,do_nothing
55,0.7495178473971569,11,12,0,do_nothing
56,0.7751401595546984,11,12,0,do_nothing
57,0.8011670260480221,11,12,0,do_nothing
58,0.8275780340162608,11,7,0,do_nothing
59,0.8543926725365469,11,7,0,do_nothing
60,0.8815987140559276,11,7,0,do_nothing
